,3.0.0,3.0.1,3.0.2,3.0.3,3.0.4,3.0.5,3.0.6,3.0.7,3.0.8,3.0.9,3.0.10,3.0.11,3.0.12,3.0.13,3.0.14,3.0.15,3.0.16,3.0.17,3.0.18,3.0.19,3.0.20,3.1.0,3.1.1,3.1.2,3.1.3,3.1.4,3.1.5,3.1.6,3.1.7,3.1.8,3.2.0,3.2.1,3.2.2,3.2.3,3.2.4,3.2.5,3.2.6,3.3.0,3.3.1,3.3.2,3.3.3,3.3.4,3.3.5,3.3.6,3.3.7,3.4.0,3.4.1,3.4.2,3.4.3,3.4.4,3.4.5,3.5.0,3.5.1,3.5.2,3.5.3,3.5.4,3.5.5,3.5.6,3.6.0,3.6.1,3.6.2
3.0.10,,,,,,,,,,,,,,,,,2,2,2,2,2,,,,,,,,,2,,,,,2,2,2,,,,2,2,2,2,2,,2,2,2,2,2,2,2,2,2,2,2,2,,,
3.0.11,,,,,,,,,,,,,,,,,2,2,2,2,2,,,,,,,,,2,,,,,2,2,2,,,,2,2,2,2,2,,2,2,2,2,2,2,2,2,2,2,2,2,,,
3.0.12,,,,,,,,,,,,,,,,,2,2,2,2,2,,,,,,,,,2,,,,,2,2,2,,,,2,2,2,2,2,,2,2,2,2,2,2,2,2,2,2,2,2,,,
3.0.13,,,,,,,,,,,,,,,,,2,2,2,2,2,,,,,,,,,2,,,,,2,2,2,,,,2,2,2,2,2,,2,2,2,2,2,2,2,2,2,2,2,2,,,
3.0.14,,,,,,,,,,,,,,,,,2,2,2,2,2,,,,,,,,,2,,,,,2,2,2,,,,2,2,2,2,2,,2,2,2,2,2,2,2,2,2,2,2,2,,,
3.0.15,,,,,,,,,,,,,,,,,2,2,2,2,2,,,,,,,,,2,,,,,2,2,2,,,,2,2,2,2,2,,2,2,2,2,2,2,2,2,2,2,2,2,,,
3.0.16,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,,,,,2,2,2,2,2,2,2,2,,2,2,2,2,,,,2,2,2,,,,,,2,,,,,,,,,,,,,2,2,2
3.0.17,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,,,,,2,2,2,2,2,2,2,2,,2,2,2,2,,,,2,2,2,,,,,,2,,,,,,,,,,,,,2,2,2
3.0.18,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,,,,,2,2,2,2,2,2,2,2,,2,2,2,2,,,,2,2,2,,,,,,2,,,,,,,,,,,,,2,2,2
3.0.19,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,,,,,2,2,2,2,2,2,2,2,,2,2,2,2,,,,2,2,2,,,,,,2,,,,,,,,,,,,,2,2,2
3.0.20,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,,,,,2,2,2,2,2,2,2,2,,2,2,2,2,,,,2,2,2,,,,,,2,,,,,,,,,,,,,2,2,2
3.1.0,,,,,,,,,,,,,,,,,2,2,2,2,2,,,,,,,,,2,,,,,2,2,2,,,,2,2,2,2,2,,2,2,2,2,2,2,2,2,2,2,2,2,,,
3.1.1,,,,,,,,,,,,,,,,,2,2,2,2,2,,,,,,,,,2,,,,,2,2,2,,,,2,2,2,2,2,,2,2,2,2,2,2,2,2,2,2,2,2,,,
3.1.2,,,,,,,,,,,,,,,,,2,2,2,2,2,,,,,,,,,2,,,,,2,2,2,,,,2,2,2,2,2,,2,2,2,2,2,2,2,2,2,2,2,2,,,
3.1.3,,,,,,,,,,,,,,,,,2,2,2,2,2,,,,,,,,,2,,,,,2,2,2,,,,2,2,2,2,2,,2,2,2,2,2,2,2,2,2,2,2,2,,,
3.1.4,,,,,,,,,,,,,,,,,2,2,2,2,2,,,,,,,,,2,,,,,2,2,2,,,,2,2,2,2,2,,2,2,2,2,2,2,2,2,2,2,2,2,,,
3.1.5,,,,,,,,,,,,,,,,,2,2,2,2,2,,,,,,,,,2,,,,,2,2,2,,,,2,2,2,2,2,,2,2,2,2,2,2,2,2,2,2,2,2,,,
3.1.6,,,,,,,,,,,,,,,,,2,2,2,2,2,,,,,,,,,2,,,,,2,2,2,,,,2,2,2,2,2,,2,2,2,2,2,2,2,2,2,2,2,2,,,
3.1.7,,,,,,,,,,,,,,,,,2,2,2,2,2,,,,,,,,,2,,,,,2,2,2,,,,2,2,2,2,2,,2,2,2,2,2,2,2,2,2,2,2,2,,,
3.1.8,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,,,,,2,2,2,2,2,2,2,2,,2,2,2,2,,,,2,2,2,,,,,,2,,,,,,,,,,,,,2,2,2
3.2.0,,,,,,,,,,,,,,,,,2,2,2,2,2,,,,,,,,,2,,,,,2,2,2,,,,2,2,2,2,2,,2,2,2,2,2,2,2,2,2,2,2,2,,,
3.2.1,,,,,,,,,,,,,,,,,2,2,2,2,2,,,,,,,,,2,,,,,2,2,2,,,,2,2,2,2,2,,2,2,2,2,2,2,2,2,2,2,2,2,,,
3.2.2,,,,,,,,,,,,,,,,,2,2,2,2,2,,,,,,,,,2,,,,,2,2,2,,,,2,2,2,2,2,,2,2,2,2,2,2,2,2,2,2,2,2,,,
3.2.3,,,,,,,,,,,,,,,,,2,2,2,2,2,,,,,,,,,2,,,,,2,2,2,,,,2,2,2,2,2,,2,2,2,2,2,2,2,2,2,2,2,2,,,
3.2.4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,,,,,2,2,2,2,2,2,2,2,,2,2,2,2,,,,2,2,2,,,,,,2,,,,,,,,,,,,,2,2,2
3.2.5,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,,,,,2,2,2,2,2,2,2,2,,2,2,2,2,,,,2,2,2,,,,,,2,,,,,,,,,,,,,2,2,2
3.2.6,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,,,,,2,2,2,2,2,2,2,2,,2,2,2,2,,,,2,2,2,,,,,,2,,,,,,,,,,,,,2,2,2
3.3.0,,,,,,,,,,,,,,,,,2,2,2,2,2,,,,,,,,,2,,,,,2,2,2,,,,2,2,2,2,2,,2,2,2,2,2,2,2,2,2,2,2,2,,,
3.3.1,,,,,,,,,,,,,,,,,2,2,2,2,2,,,,,,,,,2,,,,,2,2,2,,,,2,2,2,2,2,,2,2,2,2,2,2,2,2,2,2,2,2,,,
3.3.2,,,,,,,,,,,,,,,,,2,2,2,2,2,,,,,,,,,2,,,,,2,2,2,,,,2,2,2,2,2,,2,2,2,2,2,2,2,2,2,2,2,2,,,
3.3.3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,,,,,2,2,2,2,2,2,2,2,,2,2,2,2,,,,2,2,2,,,,,,2,,,,,,,,,,,,,2,2,2
3.3.4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,,,,,2,2,2,2,2,2,2,2,,2,2,2,2,,,,2,2,2,,,,,,2,,,,,,,,,,,,,2,2,2
3.3.5,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,,,,,2,2,2,2,2,2,2,2,,2,2,2,2,,,,2,2,2,,,,,,2,,,,,,,,,,,,,2,2,2
3.3.6,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,,,,,2,2,2,2,2,2,2,2,,2,2,2,2,,,,2,2,2,,,,,,2,,,,,,,,,,,,,2,2,2
3.3.7,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,,,,,2,2,2,2,2,2,2,2,,2,2,2,2,,,,2,2,2,,,,,,2,,,,,,,,,,,,,2,2,2
3.4.0,,,,,,,,,,,,,,,,,2,2,2,2,2,,,,,,,,,2,,,,,2,2,2,,,,2,2,2,2,2,,2,2,2,2,2,2,2,2,2,2,2,2,,,
3.4.1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,,,,,2,2,2,2,2,2,2,2,,2,2,2,2,,,,2,2,2,,,,,,2,,,,,,,,,,,,,2,2,2
3.4.2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,,,,,2,2,2,2,2,2,2,2,,2,2,2,2,,,,2,2,2,,,,,,2,,,,,,,,,,,,,2,2,2
3.4.3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,,,,,2,2,2,2,2,2,2,2,,2,2,2,2,,,,2,2,2,,,,,,2,,,,,,,,,,,,,2,2,2
3.4.4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,,,,,2,2,2,2,2,2,2,2,,2,2,2,2,,,,2,2,2,,,,,,2,,,,,,,,,,,,,2,2,2
3.4.5,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,,,,,2,2,2,2,2,2,2,2,,2,2,2,2,,,,2,2,2,,,,,,2,,,,,,,,,,,,,2,2,2
3.5.0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,,,,,2,2,2,2,2,2,2,2,,2,2,2,2,,,,2,2,2,,,,,,2,,,,,,,,,,,,,2,2,2
3.5.1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,,,,,2,2,2,2,2,2,2,2,,2,2,2,2,,,,2,2,2,,,,,,2,,,,,,,,,,,,,2,2,2
3.5.2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,,,,,2,2,2,2,2,2,2,2,,2,2,2,2,,,,2,2,2,,,,,,2,,,,,,,,,,,,,2,2,2
3.5.3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,,,,,2,2,2,2,2,2,2,2,,2,2,2,2,,,,2,2,2,,,,,,2,,,,,,,,,,,,,2,2,2
3.5.4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,,,,,2,2,2,2,2,2,2,2,,2,2,2,2,,,,2,2,2,,,,,,2,,,,,,,,,,,,,2,2,2
3.5.5,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,,,,,2,2,2,2,2,2,2,2,,2,2,2,2,,,,2,2,2,,,,,,2,,,,,,,,,,,,,2,2,2
3.5.6,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,,,,,2,2,2,2,2,2,2,2,,2,2,2,2,,,,2,2,2,,,,,,2,,,,,,,,,,,,,2,2,2
3.6.0,,,,,,,,,,,,,,,,,2,2,2,2,2,,,,,,,,,2,,,,,2,2,2,,,,2,2,2,2,2,,2,2,2,2,2,2,2,2,2,2,2,2,,,
3.6.1,,,,,,,,,,,,,,,,,2,2,2,2,2,,,,,,,,,2,,,,,2,2,2,,,,2,2,2,2,2,,2,2,2,2,2,2,2,2,2,2,2,2,,,
3.6.2,,,,,,,,,,,,,,,,,2,2,2,2,2,,,,,,,,,2,,,,,2,2,2,,,,2,2,2,2,2,,2,2,2,2,2,2,2,2,2,2,2,2,,,
